Class,Full Name,Credits,Class,Description
"""Technology Minor Credit""","""Technology Minor Credit""",3,,"Take one of these courses that you havent taken: TEC 111, TEC 116, TEC 117, TEC 120, TEC 121, TEC 123, TEC 130, TEC 143, TEC 150, TEC 151, TEC 152, TEC 216, TEC 217, TEC 222, TEC 223, TEC 224, TEC 225, TEC 226, TEC 229, TEC 233, TEC 234, TEC 240, TEC 243, TEC 244, TEC 245, TEC 250, TEC 253, TEC 257, TEC 263, TEC 270, TEC 283, TEC 284, TEC 285, TEC 292"
"""Technology Minor Credit""","""Technology Minor Credit""",3,,"Take one of these courses that you havent taken: TEC 111, TEC 116, TEC 117, TEC 120, TEC 121, TEC 123, TEC 130, TEC 143, TEC 150, TEC 151, TEC 152, TEC 216, TEC 217, TEC 222, TEC 223, TEC 224, TEC 225, TEC 226, TEC 229, TEC 233, TEC 234, TEC 240, TEC 243, TEC 244, TEC 245, TEC 250, TEC 253, TEC 257, TEC 263, TEC 270, TEC 283, TEC 284, TEC 285, TEC 292"
"""Technology Minor Credit""","""Technology Minor Credit""",3,,"Take one of these courses that you havent taken: TEC 111, TEC 116, TEC 117, TEC 120, TEC 121, TEC 123, TEC 130, TEC 143, TEC 150, TEC 151, TEC 152, TEC 216, TEC 217, TEC 222, TEC 223, TEC 224, TEC 225, TEC 226, TEC 229, TEC 233, TEC 234, TEC 240, TEC 243, TEC 244, TEC 245, TEC 250, TEC 253, TEC 257, TEC 263, TEC 270, TEC 283, TEC 284, TEC 285, TEC 292"
"""Technology Minor Credit""","""Technology Minor Credit""",3,,"Take one of these courses that you havent taken: TEC 111, TEC 116, TEC 117, TEC 120, TEC 121, TEC 123, TEC 130, TEC 143, TEC 150, TEC 151, TEC 152, TEC 216, TEC 217, TEC 222, TEC 223, TEC 224, TEC 225, TEC 226, TEC 229, TEC 233, TEC 234, TEC 240, TEC 243, TEC 244, TEC 245, TEC 250, TEC 253, TEC 257, TEC 263, TEC 270, TEC 283, TEC 284, TEC 285, TEC 292"
"""Technology Minor Credit""","""Technology Minor Credit""",3,,"Take one of these courses that you havent taken: TEC 111, TEC 116, TEC 117, TEC 120, TEC 121, TEC 123, TEC 130, TEC 143, TEC 150, TEC 151, TEC 152, TEC 216, TEC 217, TEC 222, TEC 223, TEC 224, TEC 225, TEC 226, TEC 229, TEC 233, TEC 234, TEC 240, TEC 243, TEC 244, TEC 245, TEC 250, TEC 253, TEC 257, TEC 263, TEC 270, TEC 283, TEC 284, TEC 285, TEC 292"
"""Technology Upper Level Minor Credit""","""Technology Upper Level Minor Credit""",3,,"Take one of these courses that you havent taken: TEC 313, TEC 317, TEC 319, TEC 320, TEC 322, TEC 325, TEC 326, TEC 327, TEC 328, TEC 329, TEC 330, TEC 345, TEC 348, TEC 350, TEC 351, TEC 352, TEC 353, TEC 354, TEC 356, TEC 358, TEC 383, TEC 390, TEC 392, TEC 394"
"""Technology Upper Level Minor Credit""","""Technology Upper Level Minor Credit""",3,,"Take one of these courses that you havent taken: TEC 313, TEC 317, TEC 319, TEC 320, TEC 322, TEC 325, TEC 326, TEC 327, TEC 328, TEC 329, TEC 330, TEC 345, TEC 348, TEC 350, TEC 351, TEC 352, TEC 353, TEC 354, TEC 356, TEC 358, TEC 383, TEC 390, TEC 392, TEC 394"
